Plasmid	Evidence	Property	Source	Genome Name	PATRIC ID	Source ID	Source Organism	Gene	Product	Function	Classification	PubMed	Subject Coverage	Query Coverage	Identity	E-value
pVA32-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.46	Q46706	"Escherichia coli, and Salmonella typhimurium"		ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB11)	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	99	1e-189
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.49	WP_004199234.1	Gammaproteobacteria		"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"	MULTISPECIES: carbapenem-hydrolyzing class A beta-lactamase KPC-2			100	100	100	1e-167
pVA32-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.19			QacE	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	efflux pump conferring antibiotic resistance					
pVA32-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.17			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA32-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.13	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		100	100	100	1e-156
pVA32-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.49	Q9F663	Klebsiella pneumoniae	bla	"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"	Avibactam	Drug target		100	100	100	1e-167
pVA32-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.50			TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	antibiotic inactivation enzyme	11585791				
pVA32-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.20	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
pVA32-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.11	ACF17980.1	Escherichia coli	aadA16	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	98	1e-156
pVA32-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.49			KPC family	"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"	"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"	antibiotic inactivation enzyme	27834322				
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.8	WP_063839878.1	Serratia marcescens		Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating	MULTISPECIES: class A beta-lactamase TEM-156			42	97	98	1e-107
pVA32-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.45	Q46705	"Escherichia coli, and Salmonella typhimurium"		"Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10"	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	97	1e-214
pVA32-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.44	Q46704	"Escherichia coli, and Salmonella typhimurium"		hypothetical protein	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	98	1e-165
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.9	WP_001749986.1	Gammaproteobacteria		rifampin ADP-ribosyl transferase	MULTISPECIES: NAD(+)--rifampin ADP-ribosyltransferase Arr-3			100	100	100	3e-86
pVA32-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.42	Q46702	"Escherichia coli, and Salmonella typhimurium"		hypothetical protein	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	92	97	1e-20
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.10	WP_001749985.1	Gammaproteobacteria		Dihydrofolate reductase (EC 1.5.1.3)	MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA27			99	88	100	2e-86
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.17	WP_001749994.1	Enterobacterales		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB6			100	94	100	1e-124
pVA32-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.41	Q46701	"Escherichia coli, and Salmonella typhimurium"		hypothetical protein	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	92	1e-182
pVA32-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.7	YP_006142099.1	Escherichia coli UMNK88	aadA	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)				14	92	100	1e-21
pVA32-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.36	Q46696	"Escherichia coli, and Salmonella typhimurium"		hypothetical protein	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	98	3e-48
pVA32-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.45	Q46705	Escherichia coli	traF	"Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10"	Lauryl Dimethylamine-N-Oxide	Drug target		100	100	97	1e-214
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.50	WP_000027057.1	Bacteria		Class A beta-lactamase (EC 3.5.2.6) => TEM family	MULTISPECIES: class A broad-spectrum beta-lactamase TEM-1			66	87	99	1e-104
pVA32-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.12			QacE	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	efflux pump conferring antibiotic resistance					
pVA32-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.50	P62593	Escherichia coli	bla	Class A beta-lactamase (EC 3.5.2.6) => TEM family	"Benzylpenicillin;1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid;[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate;[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid;Pinacol[[2-Amino-Alpha-(1-Carboxy-1-Methylethoxyimino)-4-Thiazoleacetyl]Amino]Methaneboronate;N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine;3-(4-Phenylamino-Phenylamino)-2-(1h-Tetrazol-5-Yl)-Acrylonitrile;1(R)-1-ACETAMIDO-2-(3-CARBOXY-2-HYDROXYPHENYL)ETHYL BORONIC ACID;(1R)-2-PHENYLACETAMIDO-2-(3-CARBOXYPHENYL)ETHYL BORONIC ACID;[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID;(1R)-1-(2-THIENYLACETYLAMINO)-1-(3-CARBOXYPHENYL)METHYLBORONIC ACID;Avibactam"	Drug target		66	87	99	1e-104
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.11	WP_001749984.1	Gammaproteobacteria		Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)	MULTISPECIES: ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16			100	100	100	1e-158
pVA32-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.17	ABP87778.1	Pantoea agglomerans	QnrB6	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		100	100	100	1e-131
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.13	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			100	100	100	1e-156
pVA32-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.8	ABC17627.1	Escherichia coli	AAC(6')-Ib-cr	Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating		"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene"		100	100	100	1e-112
pVA32-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.50	AAX56615.1	Enterobacter cloacae	TEM-141	Class A beta-lactamase (EC 3.5.2.6) => TEM family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		66	87	99	1e-104
pVA32-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.44	Q46704	Escherichia coli	traO	hypothetical protein	Lauryl Dimethylamine-N-Oxide	Drug target		100	100	98	1e-165
pVA32-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.43	Q46703	"Escherichia coli, and Salmonella typhimurium"		"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB8"	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	98	1e-129
pVA32-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.10			"folA, Dfr"	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
pVA32-74	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.86	AAL59753.1	Vibrio cholerae	sul2	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein				100	100	100	1e-148
pVA32-74	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.90	P62593	Escherichia coli	bla	Class A beta-lactamase (EC 3.5.2.6) => TEM family	"Benzylpenicillin;1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid;[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate;[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid;Pinacol[[2-Amino-Alpha-(1-Carboxy-1-Methylethoxyimino)-4-Thiazoleacetyl]Amino]Methaneboronate;N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine;3-(4-Phenylamino-Phenylamino)-2-(1h-Tetrazol-5-Yl)-Acrylonitrile;1(R)-1-ACETAMIDO-2-(3-CARBOXY-2-HYDROXYPHENYL)ETHYL BORONIC ACID;(1R)-2-PHENYLACETAMIDO-2-(3-CARBOXYPHENYL)ETHYL BORONIC ACID;[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID;(1R)-1-(2-THIENYLACETYLAMINO)-1-(3-CARBOXYPHENYL)METHYLBORONIC ACID;Avibactam"	Drug target		100	100	100	1e-163
pVA32-74	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.90	CAD09800.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	TEM-1	Class A beta-lactamase (EC 3.5.2.6) => TEM family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-163
pVA32-74	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.71	WP_012954666.1	Gammaproteobacteria		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB19			100	94	100	1e-124
pVA32-74	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.87	WP_001082319.1	Bacteria		Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	MULTISPECIES: aminoglycoside O-phosphotransferase APH(3'')-Ib			100	100	100	1e-157
pVA32-74	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.90	WP_000027057.1	Bacteria		Class A beta-lactamase (EC 3.5.2.6) => TEM family	MULTISPECIES: class A broad-spectrum beta-lactamase TEM-1			100	100	100	1e-163
pVA32-74	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.94	WP_063864674.1	Klebsiella pneumoniae		Class A beta-lactamase (EC 3.5.2.6) => SHV family	class A extended-spectrum beta-lactamase SHV-31			100	100	100	1e-160
pVA32-74	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.71			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA32-74	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.94	AAP33454.2	Klebsiella pneumoniae	SHV-31	Class A beta-lactamase (EC 3.5.2.6) => SHV family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-160
pVA32-74	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.87	ABK33456.1	Pseudomonas aeruginosa	APH(3'')-Ib	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-156
pVA32-74	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.88	WP_000480968.1	Bacteria		Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	MULTISPECIES: aminoglycoside O-phosphotransferase APH(6)-Id			100	100	100	1e-161
pVA32-74	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.88	AAC23556.1	Pseudomonas aeruginosa	APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-160
pVA32-74	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.87			APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	antibiotic inactivation enzyme	2167474;2653965;16954315				
pVA32-74	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.94			SHV family	Class A beta-lactamase (EC 3.5.2.6) => SHV family	Class A beta-lactamase (EC 3.5.2.6) => SHV family	antibiotic inactivation enzyme	11585791				
pVA32-74	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.94	P0AD63	Escherichia coli	bla	Class A beta-lactamase (EC 3.5.2.6) => SHV family	"Tazobactam;Acrylic Acid;Malonaldehyde;Tazobactam Trans-Enamine Intermediate;Cyclohexyl-Hexyl-Beta-D-Maltoside;Tazobactam Intermediate;(6,7-Dihydro-5h-Cyclopenta[D]Imidazo[2,1-B]Thiazol-2-Yl]-4,7-Dihydro[1,4]Thiazepine-3,6-Dicarboxylic Acid;Avibactam"	Drug target		100	100	99	1e-159
pVA32-74	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.71	ABG56269.1	Citrobacter freundii	QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		100	100	99	1e-130
pVA32-74	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.88			APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	antibiotic inactivation enzyme	3889831;15722395				
pVA32-74	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.86	WP_001043260.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul2			100	100	100	1e-148
pVA32-74	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-74	fig|573.39890.peg.90			TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	antibiotic inactivation enzyme	11585791				
pVA32-104	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-104	fig|573.39891.peg.53	AMP35312.1	Enterobacter cloacae	vgaC	VapB protein (antitoxin to VapC)		efflux pump conferring antibiotic resistance		97	97	94	4e-34
pVA32-200	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.174	116006905	Escherichia coli strain DIJ1	traT	IncF plasmid conjugative transfer surface exclusion protein TraT			3323837	100	100	85	1e-114
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.106	CAG27791.1	uncultured bacterium	mphA	Macrolide 2'-phosphotransferase => Mph(A) family		"antibiotic inactivation enzyme,macrolide resistance gene"		100	100	100	1e-172
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.104	CAE51638.1	Serratia marcescens	APH(3')-Ia	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	98	1e-160
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.138	AAF27727.1	Klebsiella pneumoniae	aadA2	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	100	1e-145
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.136	WP_001083725.1	Gammaproteobacteria		Dihydrofolate reductase (EC 1.5.1.3)	MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA12			100	100	100	1e-90
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.118	WP_063839878.1	Serratia marcescens		Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating	MULTISPECIES: class A beta-lactamase TEM-156			42	97	98	1e-107
pVA32-200	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.114			CTX-M family	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	antibiotic inactivation enzyme	17289764				
pVA32-200	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.139			QacE	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	efflux pump conferring antibiotic resistance					
pVA32-200	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.152	P02920	Escherichia coli (strain K12)	lacY	Lactose permease	Thiodigalactoside	Drug target		79	100	99	1e-188
pVA32-200	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.152	P02920	Escherichia coli		Lactose permease	the major facilitator superfamily (mfs).	2.A.1.5.1	10485888;12893935;15919996;1644770;16453726;16738553;1848449;2164211;2203471;6444453;7578103;9278503	79	100	99	1e-188
pVA32-200	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.62	P08692	Escherichia coli	arsC	"Arsenate reductase (EC 1.20.4.1) glutaredoxin-coupled, glutaredoxin-like family"	Thiarsahydroxy-Cysteine;Thiarsa Dihydroxy Cysteine;S-Arsonocysteine;Trihydroxyarsenite(Iii)	Drug target		100	100	95	6e-72
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.138	WP_000151233.1	Bacteria		Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)	MULTISPECIES: ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2			100	100	100	1e-145
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.107	AAS13767.1	Aeromonas hydrophila	Mrx	hypothetical protein		"antibiotic inactivation enzyme,macrolide resistance gene"		100	100	100	1e-228
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.149	CAG27791.1	uncultured bacterium	mphA	Macrolide 2'-phosphotransferase => Mph(A) family		"antibiotic inactivation enzyme,macrolide resistance gene"		100	100	100	1e-172
pVA32-200	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.114	Q9EXV5	Escherichia coli	blaUOE-1	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	Avibactam	Drug target		100	100	100	1e-161
pVA32-200	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.106	WP_000219391.1	Gammaproteobacteria		Macrolide 2'-phosphotransferase => Mph(A) family	MULTISPECIES: Mph(A) family macrolide 2'-phosphotransferase			100	100	100	1e-172
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.114	AAL02127.1	Escherichia coli	CTX-M-15	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-161
pVA32-200	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.174	EC042_pAA071	Escherichia coli 042	traT	IncF plasmid conjugative transfer surface exclusion protein TraT		Serum resistance	1730875	94	100	85	1e-113
pVA32-200	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-200	fig|573.39892.peg.119	AIA58911.1	Pseudomonas aeruginosa	OXA-1	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-167
