Plasmid	Genome ID	Accession	PATRIC ID	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	AA Length	Product	GO
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.13	PATRIC.573.39889.573.39889.con.0001.CDS.6662.6811.fwd	PATRIC	CDS	6662	6811	150	+	PLF_570_00061017	PGF_10436061	49	hypothetical protein	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.2	PATRIC.573.39889.573.39889.con.0001.CDS.685.798.fwd	PATRIC	CDS	685	798	114	+			37	hypothetical protein	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.3	PATRIC.573.39889.573.39889.con.0001.CDS.981.1292.fwd	PATRIC	CDS	981	1292	312	+		PGF_08225224	103	mobilization protein MobC	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.1	PATRIC.573.39888.573.39888.con.0001.CDS.1.720.fwd	PATRIC	CDS	1	720	720	+	PLF_570_00005482	PGF_00047577	239	Replication initiation protein RepE	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.16	PATRIC.573.39888.573.39888.con.0001.CDS.11184.12092.fwd	PATRIC	CDS	11184	12092	909	+	PLF_570_00003329	PGF_10532194	302	"Oxidoreductase, short-chain dehydrogenase/reductase family"	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.17	PATRIC.573.39888.573.39888.con.0001.CDS.12184.12864.rev	PATRIC	CDS	12184	12864	681	-	PLF_570_00007765	PGF_03325896	226	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.18	PATRIC.573.39888.573.39888.con.0001.CDS.12923.13027.rev	PATRIC	CDS	12923	13027	105	-	PLF_570_00000145	PGF_05080544	34	Psp operon transcriptional activator	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.19	PATRIC.573.39888.573.39888.con.0001.CDS.13059.13406.fwd	PATRIC	CDS	13059	13406	348	+	PLF_570_00014611	PGF_08182511	115	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.20	PATRIC.573.39888.573.39888.con.0001.CDS.13400.14239.fwd	PATRIC	CDS	13400	14239	840	+	PLF_570_00005065	PGF_00423408	279	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	GO:0004156|dihydropteroate synthase activity
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.21	PATRIC.573.39888.573.39888.con.0001.CDS.14345.14839.rev	PATRIC	CDS	14345	14839	495	-	PLF_570_00110028	PGF_08225224	164	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.22	PATRIC.573.39888.573.39888.con.0001.CDS.15173.15286.rev	PATRIC	CDS	15173	15286	114	-	PLF_570_00015034	PGF_08225224	37	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.23	PATRIC.573.39888.573.39888.con.0001.CDS.15344.16138.fwd	PATRIC	CDS	15344	16138	795	+	PLF_570_00004625	PGF_09978608	264	Transposase	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.24	PATRIC.573.39888.573.39888.con.0001.CDS.16399.17613.fwd	PATRIC	CDS	16399	17613	1215	+	PLF_570_00009078	PGF_08225224	404	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.25	PATRIC.573.39888.573.39888.con.0001.CDS.17647.19080.rev	PATRIC	CDS	17647	19080	1434	-	PLF_570_00000044	PGF_01889325	477	DNA-cytosine methyltransferase (EC 2.1.1.37)	GO:0003886|DNA (cytosine-5-)-methyltransferase activity
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.26	PATRIC.573.39888.573.39888.con.0001.CDS.19185.19451.fwd	PATRIC	CDS	19185	19451	267	+	PLF_570_00000003	PGF_06495825	88	IS1 protein InsB	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.27	PATRIC.573.39888.573.39888.con.0001.CDS.19462.19668.rev	PATRIC	CDS	19462	19668	207	-	PLF_570_00008063	PGF_07863954	68	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.28	PATRIC.573.39888.573.39888.con.0001.CDS.19673.20314.rev	PATRIC	CDS	19673	20314	642	-		PGF_08225224	213	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.29	PATRIC.573.39888.573.39888.con.0001.CDS.20370.20681.rev	PATRIC	CDS	20370	20681	312	-		PGF_00084805	103	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.30	PATRIC.573.39888.573.39888.con.0001.CDS.20717.21031.rev	PATRIC	CDS	20717	21031	315	-	PLF_570_00005275	PGF_00013969	104	IncN plasmid KikA protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.31	PATRIC.573.39888.573.39888.con.0001.CDS.21028.21372.rev	PATRIC	CDS	21028	21372	345	-	PLF_570_00006705	PGF_00302647	114	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.32	PATRIC.573.39888.573.39888.con.0001.CDS.21441.21560.fwd	PATRIC	CDS	21441	21560	120	+			39	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.33	PATRIC.573.39888.573.39888.con.0001.CDS.21560.21805.fwd	PATRIC	CDS	21560	21805	246	+		PGF_05315307	81	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.34	PATRIC.573.39888.573.39888.con.0001.CDS.21802.22536.fwd	PATRIC	CDS	21802	22536	735	+	PLF_570_00007359	PGF_05131968	244	Bores hole in peptidoglycan layer allowing type IV secretion complex assembly to occur (VirB1)	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.35	PATRIC.573.39888.573.39888.con.0001.CDS.22545.22826.fwd	PATRIC	CDS	22545	22826	282	+	PLF_570_00013984	PGF_10323399	93	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.36	PATRIC.573.39888.573.39888.con.0001.CDS.22836.23129.fwd	PATRIC	CDS	22836	23129	294	+	PLF_570_00060684	PGF_00277635	97	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.37	PATRIC.573.39888.573.39888.con.0001.CDS.23179.23496.fwd	PATRIC	CDS	23179	23496	318	+	PLF_570_00006710	PGF_01625535	105	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.3	PATRIC.573.39888.573.39888.con.0001.CDS.2325.2477.rev	PATRIC	CDS	2325	2477	153	-	PLF_570_00115805	PGF_10517462	50	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.38	PATRIC.573.39888.573.39888.con.0001.CDS.23496.26096.fwd	PATRIC	CDS	23496	26096	2601	+	PLF_570_00006914	PGF_08225224	866	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.4	PATRIC.573.39888.573.39888.con.0001.CDS.2474.3043.rev	PATRIC	CDS	2474	3043	570	-	PLF_570_00017832	PGF_08225224	189	DNA-invertase	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.39	PATRIC.573.39888.573.39888.con.0001.CDS.26114.26827.fwd	PATRIC	CDS	26114	26827	714	+	PLF_570_00036045	PGF_00202917	237	Minor pilin of type IV secretion complex (VirB5)	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.40	PATRIC.573.39888.573.39888.con.0001.CDS.26835.27062.fwd	PATRIC	CDS	26835	27062	228	+	PLF_570_00006711	PGF_10561542	75	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.41	PATRIC.573.39888.573.39888.con.0001.CDS.27078.28118.fwd	PATRIC	CDS	27078	28118	1041	+	PLF_570_00007641	PGF_08225224	346	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.42	PATRIC.573.39888.573.39888.con.0001.CDS.28189.28347.fwd	PATRIC	CDS	28189	28347	159	+	PLF_570_00026310	PGF_07164667	52	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.43	PATRIC.573.39888.573.39888.con.0001.CDS.28337.29035.fwd	PATRIC	CDS	28337	29035	699	+	PLF_570_00006230	PGF_03073672	232	"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB8"	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.44	PATRIC.573.39888.573.39888.con.0001.CDS.29046.29930.fwd	PATRIC	CDS	29046	29930	885	+		PGF_08225224	294	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.45	PATRIC.573.39888.573.39888.con.0001.CDS.29930.31090.fwd	PATRIC	CDS	29930	31090	1161	+	PLF_570_00116668	PGF_00014238	386	"Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10"	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.46	PATRIC.573.39888.573.39888.con.0001.CDS.31132.32127.fwd	PATRIC	CDS	31132	32127	996	+	PLF_570_00006240	PGF_08225224	331	ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB11)	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.5	PATRIC.573.39888.573.39888.con.0001.CDS.3183.3335.rev	PATRIC	CDS	3183	3335	153	-	PLF_570_00087618	PGF_03116020	50	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.47	PATRIC.573.39888.573.39888.con.0001.CDS.32127.32381.fwd	PATRIC	CDS	32127	32381	255	+	PLF_570_00006224	PGF_08225224	84	Plasmid conjugative transfer endonuclease	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.48	PATRIC.573.39888.573.39888.con.0001.CDS.32982.33164.fwd	PATRIC	CDS	32982	33164	183	+	PLF_570_00004900	PGF_03543440	60	Transposase	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.49	PATRIC.573.39888.573.39888.con.0001.CDS.33414.34295.rev	PATRIC	CDS	33414	34295	882	-	PLF_570_00004895	PGF_05156704	293	"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"	GO:0008800|beta-lactamase activity
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.6	PATRIC.573.39888.573.39888.con.0001.CDS.3436.4449.rev	PATRIC	CDS	3436	4449	1014	-	PLF_570_00005217	PGF_00014968	337	Integron integrase IntI1	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.50	PATRIC.573.39888.573.39888.con.0001.CDS.34517.35167.rev	PATRIC	CDS	34517	35167	651	-	PLF_570_00005659	PGF_01031760	216	Class A beta-lactamase (EC 3.5.2.6) => TEM family	GO:0008800|beta-lactamase activity
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.51	PATRIC.573.39888.573.39888.con.0001.CDS.35259.35816.rev	PATRIC	CDS	35259	35816	558	-	PLF_570_00029733	PGF_12737799	185	Mobile element protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.52	PATRIC.573.39888.573.39888.con.0001.CDS.35979.36410.fwd	PATRIC	CDS	35979	36410	432	+		PGF_01000105	143	Mobile element protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.53	PATRIC.573.39888.573.39888.con.0001.CDS.36410.38986.fwd	PATRIC	CDS	36410	38986	2577	+	PLF_570_00006284	PGF_01000105	858	Mobile element protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.54	PATRIC.573.39888.573.39888.con.0001.CDS.39019.39288.rev	PATRIC	CDS	39019	39288	270	-			89	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.55	PATRIC.573.39888.573.39888.con.0001.CDS.39438.39611.rev	PATRIC	CDS	39438	39611	174	-	PLF_570_00006702	PGF_08225224	57	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.56	PATRIC.573.39888.573.39888.con.0001.CDS.39611.42853.rev	PATRIC	CDS	39611	42853	3243	-	PLF_570_00006693	PGF_08225224	1080	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.57	PATRIC.573.39888.573.39888.con.0001.CDS.42853.44382.rev	PATRIC	CDS	42853	44382	1530	-	PLF_570_00006437	PGF_00111435	509	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.58	PATRIC.573.39888.573.39888.con.0001.CDS.44384.44800.rev	PATRIC	CDS	44384	44800	417	-	PLF_570_00006402	PGF_00375119	138	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.7	PATRIC.573.39888.573.39888.con.0001.CDS.4448.4606.fwd	PATRIC	CDS	4448	4606	159	+		PGF_06043088	52	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)	"GO:0003720|telomerase activity;GO:0003720|RNA helicase activity;GO:0003720|DNA primase activity;GO:0003720|sulfate adenylyltransferase activity;GO:0003720|RNA guanylyltransferase activity;GO:0003720|tRNA guanylyltransferase activity;GO:0003720|mannose-phosphate guanylyltransferase activity;GO:0003720|DNA/RNA helicase activity;GO:0003720|CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase activity;GO:0003720|phospholactate guanylyltransferase activity;GO:0003720|ATP:coenzyme F420 adenylyltransferase activity;GO:0003720|UDP-N-acetylgalactosamine diphosphorylase activity"
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.59	PATRIC.573.39888.573.39888.con.0001.CDS.45291.45710.fwd	PATRIC	CDS	45291	45710	420	+	PLF_570_00035826	PGF_00201557	139	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.60	PATRIC.573.39888.573.39888.con.0001.CDS.45719.46435.fwd	PATRIC	CDS	45719	46435	717	+	PLF_570_00006054	PGF_08225224	238	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.61	PATRIC.573.39888.573.39888.con.0001.CDS.46437.46805.fwd	PATRIC	CDS	46437	46805	369	+	PLF_570_00007937	PGF_00293528	122	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.8	PATRIC.573.39888.573.39888.con.0001.CDS.4696.5295.fwd	PATRIC	CDS	4696	5295	600	+	PLF_570_00129336	PGF_12821681	199	Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating	GO:0047663|aminoglycoside 6'-N-acetyltransferase activity
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.62	PATRIC.573.39888.573.39888.con.0001.CDS.46987.47331.fwd	PATRIC	CDS	46987	47331	345	+	PLF_570_00006654	PGF_00301334	114	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.63	PATRIC.573.39888.573.39888.con.0001.CDS.47442.47762.rev	PATRIC	CDS	47442	47762	321	-	PLF_570_00009667	PGF_08225224	106	FIG036757: Plasmid-related protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.64	PATRIC.573.39888.573.39888.con.0001.CDS.47817.47996.rev	PATRIC	CDS	47817	47996	180	-	PLF_570_00006801	PGF_08225224	59	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.65	PATRIC.573.39888.573.39888.con.0001.CDS.48109.48441.rev	PATRIC	CDS	48109	48441	333	-		PGF_08225224	110	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.66	PATRIC.573.39888.573.39888.con.0001.CDS.48565.48678.fwd	PATRIC	CDS	48565	48678	114	+		PGF_10330618	37	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.67	PATRIC.573.39888.573.39888.con.0001.CDS.48723.49232.rev	PATRIC	CDS	48723	49232	510	-	PLF_570_00004762	PGF_00060224	169	Antirestriction protein ArdA	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.68	PATRIC.573.39888.573.39888.con.0001.CDS.49346.49678.rev	PATRIC	CDS	49346	49678	333	-		PGF_08225224	110	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.69	PATRIC.573.39888.573.39888.con.0001.CDS.50000.50257.rev	PATRIC	CDS	50000	50257	258	-	PLF_570_00052571	PGF_12904672	85	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.70	PATRIC.573.39888.573.39888.con.0001.CDS.50273.50452.rev	PATRIC	CDS	50273	50452	180	-	PLF_570_00076781	PGF_08225224	59	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.71	PATRIC.573.39888.573.39888.con.0001.CDS.50585.50917.rev	PATRIC	CDS	50585	50917	333	-	PLF_570_00007369	PGF_08225224	110	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.72	PATRIC.573.39888.573.39888.con.0001.CDS.51027.51350.fwd	PATRIC	CDS	51027	51350	324	+	PLF_570_00121925	PGF_08225224	107	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.73	PATRIC.573.39888.573.39888.con.0001.CDS.51479.51838.rev	PATRIC	CDS	51479	51838	360	-	PLF_570_00007370	PGF_00364864	119	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.74	PATRIC.573.39888.573.39888.con.0001.CDS.51835.52131.rev	PATRIC	CDS	51835	52131	297	-	PLF_570_00007115	PGF_00972387	98	FIG00644782: hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.75	PATRIC.573.39888.573.39888.con.0001.CDS.52244.52789.rev	PATRIC	CDS	52244	52789	546	-	PLF_570_00058782	PGF_08225224	181	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.76	PATRIC.573.39888.573.39888.con.0001.CDS.52826.52999.fwd	PATRIC	CDS	52826	52999	174	+	PLF_570_00120748		57	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.77	PATRIC.573.39888.573.39888.con.0001.CDS.53017.53256.rev	PATRIC	CDS	53017	53256	240	-	PLF_570_00057706	PGF_00290557	79	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.78	PATRIC.573.39888.573.39888.con.0001.CDS.53266.53670.rev	PATRIC	CDS	53266	53670	405	-	PLF_570_00006553	PGF_00382568	134	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.79	PATRIC.573.39888.573.39888.con.0001.CDS.53728.54153.rev	PATRIC	CDS	53728	54153	426	-	PLF_570_00006494	PGF_06820095	141	KlcA protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.9	PATRIC.573.39888.573.39888.con.0001.CDS.5392.5844.fwd	PATRIC	CDS	5392	5844	453	+	PLF_570_00039742	PGF_00411967	150	rifampin ADP-ribosyl transferase	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.80	PATRIC.573.39888.573.39888.con.0001.CDS.54568.55008.fwd	PATRIC	CDS	54568	55008	441	+	PLF_570_00080045	PGF_07518314	146	Error-prone repair protein UmuD	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.81	PATRIC.573.39888.573.39888.con.0001.CDS.54996.56261.fwd	PATRIC	CDS	54996	56261	1266	+	PLF_570_00087906	PGF_00424726	421	"Error-prone, lesion bypass DNA polymerase V (UmuC)"	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.82	PATRIC.573.39888.573.39888.con.0001.CDS.56412.57203.fwd	PATRIC	CDS	56412	57203	792	+	PLF_570_00006677	PGF_00022705	263	Mpr protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.83	PATRIC.573.39888.573.39888.con.0001.CDS.57218.57559.rev	PATRIC	CDS	57218	57559	342	-	PLF_570_00006403	PGF_10544582	113	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.10	PATRIC.573.39888.573.39888.con.0001.CDS.5917.6450.fwd	PATRIC	CDS	5917	6450	534	+	PLF_570_00011268	PGF_09348764	177	Dihydrofolate reductase (EC 1.5.1.3)	GO:0004146|dihydrofolate reductase activity
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.11	PATRIC.573.39888.573.39888.con.0001.CDS.6631.7476.fwd	PATRIC	CDS	6631	7476	846	+	PLF_570_00014719	PGF_06043088	281	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)	"GO:0003720|telomerase activity;GO:0003720|RNA helicase activity;GO:0003720|DNA primase activity;GO:0003720|sulfate adenylyltransferase activity;GO:0003720|RNA guanylyltransferase activity;GO:0003720|tRNA guanylyltransferase activity;GO:0003720|mannose-phosphate guanylyltransferase activity;GO:0003720|DNA/RNA helicase activity;GO:0003720|CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase activity;GO:0003720|phospholactate guanylyltransferase activity;GO:0003720|ATP:coenzyme F420 adenylyltransferase activity;GO:0003720|UDP-N-acetylgalactosamine diphosphorylase activity"
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.2	PATRIC.573.39888.573.39888.con.0001.CDS.749.2122.fwd	PATRIC	CDS	749	2122	1374	+		PGF_08225224	457	"Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)"	GO:0008121|ubiquinol-cytochrome-c reductase activity
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.12	PATRIC.573.39888.573.39888.con.0001.CDS.7593.7940.fwd	PATRIC	CDS	7593	7940	348	+	PLF_570_00014611	PGF_08182511	115	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.13	PATRIC.573.39888.573.39888.con.0001.CDS.7934.8773.fwd	PATRIC	CDS	7934	8773	840	+	PLF_570_00005065	PGF_00423408	279	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	GO:0004156|dihydropteroate synthase activity
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.14	PATRIC.573.39888.573.39888.con.0001.CDS.8847.9002.fwd	PATRIC	CDS	8847	9002	156	+			51	hypothetical protein	
pVA32-58	573.39888	573.39888.con.0001	fig|573.39888.peg.15	PATRIC.573.39888.573.39888.con.0001.CDS.9178.10719.fwd	PATRIC	CDS	9178	10719	1542	+	PLF_570_00006694	PGF_08225224	513	hypothetical protein	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.17	PATRIC.573.39890.573.39890.con.0001.CDS.10322.10771.fwd	PATRIC	CDS	10322	10771	450	+	PLF_570_00014717	PGF_04872598	149	DNA repair protein RadC	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.18	PATRIC.573.39890.573.39890.con.0001.CDS.10816.11082.fwd	PATRIC	CDS	10816	11082	267	+	PLF_570_00008808	PGF_00256745	88	KorC protein	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.19	PATRIC.573.39890.573.39890.con.0001.CDS.11108.11221.fwd	PATRIC	CDS	11108	11221	114	+	PLF_570_00015775		37	hypothetical protein	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.20	PATRIC.573.39890.573.39890.con.0001.CDS.11532.11651.fwd	PATRIC	CDS	11532	11651	120	+			39	hypothetical protein	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.21	PATRIC.573.39890.573.39890.con.0001.CDS.11718.11897.fwd	PATRIC	CDS	11718	11897	180	+	PLF_570_00009152	PGF_08225224	59	hypothetical protein	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.22	PATRIC.573.39890.573.39890.con.0001.CDS.11970.12830.fwd	PATRIC	CDS	11970	12830	861	+	PLF_570_00008729	PGF_00067424	286	Z1226 protein	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.23	PATRIC.573.39890.573.39890.con.0001.CDS.12830.12946.fwd	PATRIC	CDS	12830	12946	117	+			38	hypothetical protein	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.24	PATRIC.573.39890.573.39890.con.0001.CDS.13020.13358.fwd	PATRIC	CDS	13020	13358	339	+	PLF_570_00008628	PGF_08225224	112	FIG00641150: hypothetical protein	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.25	PATRIC.573.39890.573.39890.con.0001.CDS.13456.13686.fwd	PATRIC	CDS	13456	13686	231	+	PLF_570_00008798	PGF_10484668	76	hypothetical protein	
pVA32-74	573.39890	573.39890.con.0001	fig|573.39890.peg.26	PATRIC.573.39890.573.39890.con.0001.CDS.13800.13913.fwd	PATRIC	CDS	13800	13913	114	+	PLF_570_00008829	PGF_10544010	37	hypothetical protein	
