Plasmid	ID_integron	ID_replicon	element	pos_beg	pos_end	strand	evalue	type_elt	annotation	model	type	default	distance_2attC	considered_topology
pVA684-6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVA684-8	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVA833-165	-	-	-	-	-	-	-	-	-	-	-	-	-	
pVA833-176k	integron_01	pVA833_176k	pVA833_176k_76	69287	70246	-1	1.60E-24	protein	intI	intersection_tyr_intI	complete	No	NA	
pVA833-176k	integron_01	pVA833_176k	pVA833_176k_77	70419	70871	1	NA	protein	protein	NA	complete	No	NA	
pVA833-176k	integron_01	pVA833_176k	attc_001	70878	70991	1	0.0088	attC	attC	attc_4	complete	No	NA	
pVA833-176k	integron_01	pVA833_176k	pVA833_176k_78	71192	72451	1	7.80E-181	protein	Chlor_Efflux_Pump	RF0051	complete	No	NA	
pVA833-176k	integron_01	pVA833_176k	attc_002	72471	72540	1	2.20E+08	attC	attC	attc_4	complete	No	1480	
pVA833-176k	integron_01	pVA833_176k	pVA833_176k_79	72716	73516	1	3.30E-104	protein	ClassD	RF0056	complete	No	NA	
pVA833-176k	integron_02	pVA833_176k	pVA833_176k_93	87669	88682	-1	1.80E-24	protein	intI	intersection_tyr_intI	complete	No	NA	
pVA833-176k	integron_02	pVA833_176k	pVA833_176k_94	88838	89311	1	NA	protein	protein	NA	complete	No	NA	
pVA833-176k	integron_02	pVA833_176k	attc_001	89306	89391	1	0.13	attC	attC	attc_4	complete	No	NA	
pVA833-176k	integron_02	pVA833_176k	pVA833_176k_95	89478	89762	-1	NA	protein	protein	NA	complete	No	NA	
pVA833-7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVA833-92	integron_01	pVA833-92	pVA833-92_7	8257	9270	-1	1.00E-24	protein	intI	intersection_tyr_intI	complete	No	NA	
pVA833-92	integron_01	pVA833-92	pVA833-92_8	9415	9912	1	NA	protein	protein	NA	complete	No	NA	
pVA833-92	integron_01	pVA833-92	attc_001	9907	9996	1	5.60E+11	attC	attC	attc_4	complete	No	NA	
pVA833-92	integron_01	pVA833-92	attc_002	10257	10316	1	2.00E-06	attC	attC	attc_4	complete	No	261	
pVA833-92	integron_01	pVA833-92	pVA833-92_9	10332	11111	1	2.00E-166	protein	ANT3	RF0027	complete	No	NA	
pVA833-92	integron_01	pVA833-92	attc_003	11113	11172	1	2.90E-09	attC	attC	attc_4	complete	No	797	
pVA833-92	integron_01	pVA833-92	pVA833-92_10	11275	11622	1	2.20E-30	protein	emrE	RF0066	complete	No	NA	
